"Object ID","Organization Name","Approved On Street","Borough Name","Approved From Street","Approved To Street","apprDaysWe","Status Type","Approved Monday Open","Approved Monday Close","Approved Tuesday Open","Approved Tuesday Close","Approved Wednesday Open","Approved Wednesday Close","Approved Thursday Open","Approved Thursday Close","Approved Friday Open","Approved Friday Close","Approved Saturday Open","Approved Saturday Close","Approved Sunday Open","Approved Sunday Close","apprStartD","apprEndDat","Shape_STLe","segmentidt","segmentidf","lionversion","The_Geom"
"210","Kesher Bridging Communities","READS LANE","Queens","CORNAGA AVENUE","MEEHAN AVENUE","fri,sat,sun","approvedLimited",,,,,,,,,"15:30","19:00","08:00","20:00","12:00","16:00","01/01/2024","12/31/2024","250.096764339","0062010","0062010","23C","MULTILINESTRING ((-73.73915126556885 40.600223605151974, -73.73972262865874 40.60075423889453))"
"211","PS 134Q: Langston Hughes School","109 AVENUE","Queens","203 STREET","204 STREET","mon,tue,wed,thu,fri","approvedFullSchools","10:00","14:00","10:00","14:00","10:00","14:00","10:00","14:00","10:00","14:00",,,,,"09/05/2024","06/27/2025","259.277500616","0064632","0064632","23C","MULTILINESTRING ((-73.7554168966385 40.70796357270561, -73.75452474163696 40.70817695967671))"
"212","LaGuardia Community College","29 STREET","Queens","47 AVENUE","SKILLMAN AVENUE","mon,tue,wed,thu,fri","approvedFull","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00",,,,,"05/01/2024","11/01/2024","606.926158791","0067208","0067208","23C","MULTILINESTRING ((-73.93825761873377 40.74506843728699, -73.93856966072069 40.74341956883915))"
"213","Our World Neighborhood Charter School","37 STREET","Queens","36 AVENUE","35 AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","10:00","13:15","10:00","13:15","10:00","13:15","10:00","13:15","10:00","13:15",,,,,"09/05/2024","06/27/2025","660.305742571","0067750","0067750","23C","MULTILINESTRING ((-73.92370440142724 40.75588003725904, -73.92495400124389 40.7543367511981))"
"214","31st Ave Open Street Collective","31 AVENUE","Queens","33 STREET","35 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","20:00","12:00","20:00","04/06/2024","12/29/2024","260.226449415","0067781","0067781","23C","MULTILINESTRING ((-73.92188016164027 40.76357438580629, -73.92108063899165 40.76319941199185))"
"215","31st Ave Open Street Collective","31 AVENUE","Queens","33 STREET","35 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","20:00","12:00","20:00","04/06/2024","12/29/2024","260.013665877","0067896","0067896","23C","MULTILINESTRING ((-73.92108063899165 40.76319941199185, -73.92028343686519 40.76282270343773))"
"216","Salsa Stories","EAST 115 STREET","Manhattan","PLEASANT AVENUE","1 AVENUE","sat","approvedFull",,,,,,,,,,,"17:00","21:00",,,"07/20/2024","08/24/2024","713.716691974","0068462","0068462","23C","MULTILINESTRING ((-73.93591227007374 40.79531183757365, -73.93364741404376 40.7943765032474))"
"217","The Young Women’s Leadership School of Astoria","NEWTOWN AVENUE","Queens","23 STREET","CRESCENT STREET","mon,tue,wed,thu,fri","approvedFullSchools","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30",,,,,"03/11/2024","06/27/2025","464.245154284","0068661","0068661","23C","MULTILINESTRING ((-73.92478315052978 40.771354772176636, -73.92363353401703 40.770427523887854))"
"218","The Young Women’s Leadership School of Astoria","23 STREET","Queens","NEWTOWN AVENUE","ASTORIA BOULEVARD","mon,tue,wed,thu,fri","approvedFullSchools","10:00","14:30","10:00","14:30","10:00","14:30","10:00","14:30","10:00","14:30",,,,,"04/01/2024","06/27/2025","180.316548821","0068663","0068663","23C","MULTILINESTRING ((-73.92444128039068 40.77177595709695, -73.92478315052978 40.771354772176636))"
"219","Global Community Charter School","WEST 142 STREET","Manhattan","CHISUM PLACE","5 AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","10:30","15:00","10:30","15:00","10:30","15:00","10:30","15:00","10:30","15:00",,,,,"09/05/2024","06/27/2025","471.518331073","0069384","0069384","23C","MULTILINESTRING ((-73.93445400187738 40.81718852805841, -73.9359602751406 40.81779301086131))"
