cell_index,cell_id,borough,nta_id,nta_name,housing_units,median_gross_rent_usd,margin_of_error_usd,rent_percentile,bar_height_m,source_level,primary_source_level,dominant_source_geoid,source_geography_count,source_unit_coverage_share,lower_bound_90_usd,upper_bound_90_usd
5635,892a10761bbffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,158,1827.0,136.2,0.4058,983.8,mixed,block_group,360470706012,2,1.0,1690.8,1963.2
5636,892a10761c3ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,343,1650.0,390.5,0.2282,572.5,mixed,tract,36047069602,2,1.0,1259.5,2040.5
5637,892a10761c7ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,391,1979.7,1153.8,0.5629,1368.9,mixed,block_group,360470700002,4,1.0,825.9,3133.5
5638,892a10761cbffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,405,2019.1,365.8,0.5944,1453.1,mixed,tract,36047069602,2,1.0,1653.3,2384.9
5639,892a10761cfffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,322,1712.4,418.4,0.2869,709.8,tract,tract,36047069602,2,1.0,1294.0,2130.8
5640,892a10761d3ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,503,1513.0,863.0,0.1529,387.7,block_group,block_group,360470696023,1,1.0,650.0,2376.0
5641,892a10761d7ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,322,1577.2,643.9,0.1829,462.1,mixed,block_group,360470696023,2,1.0,933.3,2221.1
5642,892a10761dbffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,622,2148.8,358.7,0.7164,1770.6,mixed,block_group,360470696012,4,1.0,1790.1,2507.5
5643,892a1076203ffff,Brooklyn,BK1401,Flatbush,174,2265.5,1532.4,0.7969,1994.1,block_group,block_group,360470772001,2,1.0,733.1,3797.9
5644,892a1076207ffff,Brooklyn,BK1401,Flatbush,390,1760.1,85.0,0.3412,822.4,mixed,block_group,360470774002,4,1.0,1675.1,1845.1
5645,892a107620bffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,941,1757.5,136.8,0.339,815.9,block_group,block_group,360470764002,4,1.0,1620.7,1894.3
5646,892a107620fffff,Brooklyn,BK1401,Flatbush,493,1862.1,113.0,0.4452,1079.2,mixed,block_group,360470772002,4,1.0,1749.1,1975.1
5647,892a1076213ffff,Brooklyn,BK1401,Flatbush,1100,1888.8,423.4,0.4673,1140.4,block_group,block_group,360470770001,6,1.0,1465.4,2312.2
5648,892a1076217ffff,Brooklyn,BK1401,Flatbush,372,1741.8,61.8,0.32,777.5,block_group,block_group,360470774001,2,1.0,1680.0,1803.6
5649,892a107621bffff,Brooklyn,BK1401,Flatbush,523,1982.7,478.1,0.5651,1375.2,block_group,block_group,360470766001,3,1.0,1504.6,2460.8
5650,892a1076223ffff,Brooklyn,BK1403,Midwood,266,1782.6,43.1,0.3594,869.4,mixed,borough,36047,3,1.0,1739.5,1825.7
5651,892a1076227ffff,Brooklyn,BK1403,Midwood,252,1568.6,163.5,0.1773,448.5,mixed,tract,36047074800,2,1.0,1405.1,1732.1
5652,892a107622bffff,Brooklyn,BK1403,Midwood,917,1451.0,154.9,0.1245,321.0,mixed,block_group,360470762002,6,1.0,1296.1,1605.9
5653,892a107622fffff,Brooklyn,BK1403,Midwood,372,1663.5,46.8,0.2408,601.9,mixed,tract,36047,3,1.0,1616.7,1710.3
5654,892a1076233ffff,Brooklyn,BK1403,Midwood,452,2055.6,124.0,0.6289,1544.4,mixed,block_group,360470750001,3,1.0,1931.6,2179.6
5655,892a1076237ffff,Brooklyn,BK1403,Midwood,875,1520.9,136.3,0.1575,398.9,mixed,block_group,360470748002,5,1.0,1384.6,1657.2
5656,892a107623bffff,Brooklyn,BK1403,Midwood,202,1794.5,36.3,0.3723,899.3,mixed,borough,36047,2,1.0,1758.2,1830.8
5657,892a1076243ffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,1130,1728.3,325.0,0.3038,751.1,mixed,block_group,360470520003,6,1.0,1403.3,2053.3
5658,892a1076247ffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,209,1603.2,217.6,0.1989,501.6,mixed,block_group,360470528001,3,1.0,1385.6,1820.8
5659,892a107624bffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,1065,1841.3,96.1,0.4237,1022.2,mixed,block_group,36047048200,5,1.0,1745.2,1937.4
5660,892a107624fffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,758,2038.1,399.8,0.6126,1503.2,mixed,block_group,360470460002,6,1.0,1638.3,2437.9
5661,892a1076253ffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,738,1953.5,212.1,0.5284,1294.2,block_group,block_group,360470518002,3,1.0,1741.4,2165.6
5662,892a1076257ffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,661,1700.4,176.1,0.2763,683.1,mixed,block_group,360470764001,4,1.0,1524.3,1876.5
5663,892a107625bffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,424,2003.9,120.9,0.58,1416.6,mixed,block_group,360470526001,7,1.0,1883.0,2124.8
5664,892a1076263ffff,Brooklyn,BK1403,Midwood,745,1860.0,176.4,0.4433,1074.3,block_group,block_group,360470530001,6,1.0,1683.6,2036.4
5665,892a1076267ffff,Brooklyn,BK1403,Midwood,475,1828.1,283.5,0.4074,986.9,block_group,block_group,360470532002,5,1.0,1544.6,2111.6
5666,892a107626bffff,Brooklyn,BK1204,Mapleton-Midwood (West),441,1612.2,163.3,0.2032,512.7,mixed,block_group,360470530003,4,1.0,1448.9,1775.5
5667,892a107626fffff,Brooklyn,BK1403,Midwood,875,1692.1,145.7,0.2686,665.8,block_group,block_group,360470534003,6,1.0,1546.4,1837.8
5668,892a1076273ffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,953,1739.9,250.3,0.3186,774.6,block_group,block_group,360470532001,5,1.0,1489.6,1990.2
5669,892a1076277ffff,Brooklyn,BK1403,Midwood,908,1524.3,151.4,0.1584,401.5,block_group,block_group,360470762003,4,1.0,1372.9,1675.7
5670,892a107627bffff,Brooklyn,BK1403,Midwood,612,1830.5,179.2,0.4097,993.6,block_group,block_group,360470530002,6,1.0,1651.3,2009.7
5671,892a1076283ffff,Brooklyn,BK1702,East Flatbush-Farragut,1733,1779.6,130.2,0.3561,861.0,block_group,block_group,360470782002,4,1.0,1649.4,1909.8
5672,892a1076287ffff,Brooklyn,BK1702,East Flatbush-Farragut,683,2661.3,401.4,0.9359,2435.3,block_group,block_group,360470784001,4,1.0,2259.9,3062.7
5673,892a107628bffff,Brooklyn,BK1401,Flatbush,915,1822.3,338.8,0.401,972.9,block_group,block_group,360470788011,5,1.0,1483.5,2161.1
5674,892a107628fffff,Brooklyn,BK1702,East Flatbush-Farragut,1125,1882.2,113.6,0.4618,1124.9,block_group,block_group,360470786022,4,1.0,1768.6,1995.8
5675,892a1076293ffff,Brooklyn,BK1702,East Flatbush-Farragut,1087,1614.7,304.7,0.2047,515.5,block_group,block_group,360470830003,5,1.0,1310.0,1919.4
5676,892a1076297ffff,Brooklyn,BK1702,East Flatbush-Farragut,662,1717.0,235.7,0.2926,724.3,block_group,block_group,360470782001,4,1.0,1481.3,1952.7
5677,892a107629bffff,Brooklyn,BK1702,East Flatbush-Farragut,1162,1756.6,81.1,0.3375,812.3,block_group,block_group,360470830004,5,1.0,1675.5,1837.7
5678,892a10762a3ffff,Brooklyn,BK1801,Flatlands,1206,1897.1,175.9,0.4753,1160.8,mixed,block_group,360470776002,4,1.0,1721.2,2073.0
5679,892a10762a7ffff,Brooklyn,BK1801,Flatlands,597,2095.7,336.4,0.6677,1639.8,mixed,block_group,360470740002,4,1.0,1759.3,2432.1
5680,892a10762abffff,Brooklyn,BK1401,Flatbush,1336,1759.5,138.1,0.3404,820.0,block_group,block_group,360470774002,4,1.0,1621.4,1897.6
5681,892a10762afffff,Brooklyn,BK1801,Flatlands,609,2155.7,573.3,0.7215,1787.1,block_group,block_group,360470742001,4,1.0,1582.4,2729.0
5682,892a10762b3ffff,Brooklyn,BK1702,East Flatbush-Farragut,444,2054.8,233.4,0.6284,1542.5,mixed,block_group,360470780002,4,1.0,1821.4,2288.2
5683,892a10762b7ffff,Brooklyn,BK1801,Flatlands,353,1682.5,408.3,0.2587,644.0,mixed,tract,36047077600,4,1.0,1274.2,2090.8
5684,892a10762bbffff,Brooklyn,BK1702,East Flatbush-Farragut,1530,1847.6,166.0,0.4311,1041.2,block_group,block_group,360470776001,4,1.0,1681.6,2013.6
5685,892a10762c3ffff,Brooklyn,BK1401,Flatbush,1572,1734.9,177.1,0.315,765.8,block_group,block_group,360470516013,6,1.0,1557.8,1912.0
5686,892a10762c7ffff,Brooklyn,BK1401,Flatbush,706,1811.2,118.9,0.3915,945.7,block_group,block_group,360470770002,5,1.0,1692.3,1930.1
5687,892a10762cbffff,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,451,1716.0,85.8,0.2911,720.2,block_group,block_group,360470516011,5,1.0,1630.2,1801.8
5688,892a10762cfffff,Brooklyn,BK1401,Flatbush,1538,1643.3,85.1,0.2231,559.5,block_group,block_group,360470516011,7,1.0,1558.2,1728.4
5689,892a10762d3ffff,Brooklyn,BK1701,East Flatbush-Erasmus,1106,1758.1,218.4,0.3393,816.5,block_group,block_group,360470790022,5,1.0,1539.7,1976.5
